credit_limit_mad,gender,education_level,marital_status,age,payment_status_month_1,payment_status_month_2,payment_status_month_3,payment_status_month_4,payment_status_month_5,payment_status_month_6,bill_amount_month_1,bill_amount_month_2,bill_amount_month_3,bill_amount_month_4,bill_amount_month_5,bill_amount_month_6,payment_amount_month_1,payment_amount_month_2,payment_amount_month_3,payment_amount_month_4,payment_amount_month_5,payment_amount_month_6,target
91350.0,1,4,1,41,3,4,4,4,5,6,53144,45922,45646,45660,41537,41471,28336,24465,17620,11397,17816,17121,0
115150.0,1,1,2,25,0,1,2,3,2,2,15980,14415,12049,11329,11921,11315,5130,2737,2689,4190,4159,2443,0
31850.0,1,2,1,28,-1,-1,0,-1,-1,-2,11359,12168,13367,10900,11095,10958,2675,2288,2538,1718,2806,1759,0
12950.0,0,3,2,39,-1,0,-1,-1,0,0,8101,8204,7751,6693,5629,5425,8743,8608,5490,6419,5902,2318,0
17500.0,0,1,2,27,1,0,0,0,1,1,1344,1106,1090,968,990,890,34,50,38,42,43,41,1
22050.0,0,2,1,31,0,-1,0,0,1,0,19087,15723,14771,15405,14295,14268,2347,2743,3379,3394,1557,1868,0
23450.0,0,3,2,49,0,0,1,2,3,2,5137,4508,4842,4519,4298,4456,1201,1482,1862,1049,1624,1002,0
38150.0,0,2,2,32,-1,0,-1,0,1,0,27696,29240,25338,26439,22562,22362,4385,7242,2766,3761,3243,4286,0
31500.0,0,1,2,21,2,1,2,2,1,2,18124,16094,13320,13521,14712,15141,8657,8655,4962,6730,3498,7244,0
7700.0,1,2,1,62,1,2,1,1,2,2,5058,4574,4268,4318,4449,4606,1258,1069,897,921,1016,450,1
8050.0,0,1,1,45,0,-1,-2,-1,-2,-2,4911,4349,3935,3829,3814,3474,330,317,280,268,290,208,1
37450.0,0,3,2,34,0,-1,-1,0,1,0,23222,21487,22152,20746,20876,20630,8218,14462,7189,6128,11104,13470,0
16100.0,1,1,1,35,0,1,1,1,2,2,8196,7730,7138,6125,5706,5716,973,862,1712,1476,1269,605,1
21350.0,0,1,1,21,-1,0,-1,0,0,-1,5229,5581,5657,4668,5057,4366,2834,1999,2358,2285,2445,1581,0
23450.0,1,1,1,31,0,0,0,-1,0,0,12071,11822,12428,13240,13255,12559,6155,6672,7052,7980,4812,5752,0
14000.0,0,2,1,28,-1,-1,-2,-1,-2,-1,6438,6687,6602,7071,7043,6714,331,490,293,340,278,381,0
25900.0,1,4,1,36,3,3,4,4,5,5,5410,5782,4942,4171,4421,3966,644,766,1204,1177,553,636,0
43050.0,1,1,1,50,-1,-1,-1,-2,-2,-2,5434,4886,4991,4879,4288,3568,912,433,647,356,682,324,0
20300.0,0,1,1,39,0,1,2,1,1,0,7413,6484,5352,5440,5950,5314,799,800,1044,500,785,389,0
79450.0,0,2,1,54,0,0,1,0,-1,-2,21158,18784,18220,15661,16804,16866,1493,2613,1362,1690,1685,2039,0
94500.0,1,3,1,22,-1,-1,-2,-2,-1,-2,30945,32202,34780,32250,25969,24263,8030,5254,8652,8352,4427,3980,0
10500.0,1,2,2,21,-1,0,0,1,2,3,3183,3457,3468,2782,2571,2360,1545,1595,1667,1169,951,1283,0
33250.0,1,1,2,46,3,4,3,2,2,2,17090,14261,11836,12077,9962,8479,2046,1721,2706,1544,2130,1628,1
18550.0,1,2,1,36,2,3,2,2,1,1,1784,1921,1860,1496,1337,1199,1023,1039,439,385,759,459,1
11550.0,0,1,1,39,-1,-2,-1,0,1,0,1033,873,867,920,911,759,293,286,344,229,365,288,0
22050.0,0,2,1,35,0,0,-1,0,1,1,14580,14972,12385,12874,14024,14310,3487,5755,2537,5469,2207,6081,0
3500.0,0,1,2,37,0,1,0,0,0,0,992,950,931,929,890,738,104,164,183,95,181,93,0
46550.0,1,3,2,41,0,-1,-1,-2,-2,-2,31149,29792,27496,23732,19693,20880,7988,6939,7041,7726,4070,6355,0
50400.0,1,4,1,37,1,1,1,1,2,2,13004,13026,10786,10967,9845,9021,6925,5928,3645,6455,5208,4812,0
28350.0,0,3,2,30,3,3,3,3,3,4,10455,9688,7939,7602,6555,5543,5815,6313,2703,3743,3243,1983,0
54950.0,0,2,1,56,0,-1,-1,0,1,1,37179,35511,33026,28837,28442,27287,5021,4625,4826,3654,8469,8993,0
12250.0,0,2,1,36,1,1,0,0,1,1,8851,8098,7978,8312,8613,7252,1892,2449,2754,1709,2406,2480,0
3500.0,0,1,1,33,2,3,3,2,3,3,139,145,135,122,105,114,16,19,18,8,10,8,1
14700.0,1,3,1,32,2,1,2,2,2,3,4609,3740,3687,2953,2897,3160,452,244,256,155,243,293,0
7700.0,1,2,2,38,2,2,2,2,3,2,2836,2545,2360,2319,2312,2057,390,353,396,397,384,227,1
23100.0,1,3,2,33,-1,0,-1,-1,-2,-1,10371,11242,9558,9915,9138,9194,2068,1575,1905,1599,779,1784,0
84350.0,1,1,2,21,0,0,-1,-2,-1,-2,23697,21174,18107,17601,17733,14464,1262,865,1121,674,1290,1025,0
30100.0,0,3,2,33,1,0,0,0,-1,-2,6849,7289,7565,7496,6813,6807,1404,2608,3809,2193,2410,2841,0
18200.0,1,2,1,25,-1,-2,-2,-2,-2,-2,3929,4177,4118,3664,3678,3498,1292,2902,1955,2746,2703,1058,0
62650.0,1,1,2,37,3,3,3,2,1,2,30389,31905,27759,24861,22606,18169,1326,1707,1469,1348,2105,1035,0
106050.0,1,2,1,35,1,1,0,1,1,1,25257,26588,27947,26813,26246,25737,12212,6318,12102,11156,10020,11418,0
34300.0,1,4,1,29,-1,-1,-1,-2,-1,0,11112,10083,8816,7324,6202,5338,2298,2062,2291,1776,1361,1354,0
12600.0,1,4,2,44,-1,-2,-2,-2,-1,-2,1054,974,785,858,718,610,59,62,85,52,90,48,0
25550.0,1,2,2,34,1,2,3,2,3,2,1924,1994,2051,1695,1844,1952,36,25,38,46,21,36,0
26600.0,1,1,1,32,0,0,1,0,-1,0,5335,5742,5021,5016,4040,4207,4425,5192,2256,2435,2108,3974,0
19250.0,0,3,1,32,1,1,0,-1,0,1,9574,7888,6641,5429,5705,4602,1893,2306,2189,1723,1446,1606,1
73850.0,0,2,1,31,-1,0,0,0,-1,-1,27775,29518,26137,24887,23214,22916,3035,2852,2227,4607,2494,3264,0
49350.0,0,1,2,40,-1,-2,-2,-2,-2,-1,23603,21303,17622,18630,17697,16014,3312,5865,2311,4601,2813,2687,0
8050.0,1,1,2,28,-1,0,1,0,-1,-2,2270,1839,1531,1564,1665,1720,555,576,326,281,595,210,0
7350.0,0,1,2,36,-1,0,-1,-2,-2,-2,2207,2010,2154,1928,1766,1912,479,404,383,510,484,465,0
14000.0,1,1,1,30,-1,0,-1,-2,-1,-1,5358,5334,5000,5425,5837,5816,758,1303,948,2001,1790,988,0
9450.0,1,3,2,29,0,1,0,1,2,1,1890,1608,1723,1701,1569,1561,138,171,155,126,108,99,0
15050.0,0,1,1,39,-1,0,-1,-1,-2,-2,7330,7213,6880,7225,7896,8550,802,639,660,883,447,996,0
23100.0,1,1,1,26,-1,0,0,0,1,1,12883,12377,11817,10669,9163,8145,1370,536,869,480,413,554,0
19600.0,1,2,2,40,-1,-1,-1,-2,-2,-1,5781,4764,4078,4386,4040,3306,523,368,591,648,490,637,0
26950.0,0,2,2,38,0,0,-1,0,0,1,8315,7883,6560,5327,4432,4421,176,171,262,100,100,102,0
16800.0,0,1,2,47,0,1,1,0,-1,-2,12395,13216,11783,12772,14007,14354,5070,6298,5204,6467,6841,6976,0
6300.0,0,1,2,21,5,4,5,4,5,6,1097,1167,1111,935,751,823,113,135,164,105,112,52,1
9450.0,0,1,2,44,0,0,0,0,-1,-2,3987,3425,3337,3132,2863,2370,1241,1038,641,468,868,345,0
8750.0,1,2,2,32,1,1,0,1,2,1,3085,2645,2497,2345,2351,2046,841,291,512,550,707,380,1
11200.0,1,1,2,21,0,0,0,-1,-2,-1,6066,5330,5586,4751,4527,3745,2160,1428,987,987,854,897,0
33250.0,1,2,1,29,3,2,1,2,3,2,21984,18896,20049,21998,17908,18689,10303,16726,9899,12178,9932,11526,0
16100.0,1,1,1,40,-1,-2,-2,-2,-1,0,7925,8616,8298,7403,7883,6979,2379,3980,1911,2451,2018,2889,1
9800.0,1,1,1,34,1,0,0,0,1,0,1848,1958,1702,1424,1314,1314,1020,545,835,646,320,451,1
21350.0,0,2,2,47,-1,0,1,0,0,-1,13483,12095,10088,8513,9322,8305,9932,9137,5869,5987,5164,5277,0
29750.0,1,1,2,32,2,3,2,3,4,4,13786,11258,10057,9099,8661,9306,4809,8060,6558,4676,3847,7515,1
29050.0,1,1,1,35,-1,-2,-2,-2,-1,0,7109,7504,7180,7437,7059,6950,218,375,488,497,332,361,0
193903.49999999945,1,1,2,33,-1,-1,0,-1,-2,-2,100267,87413,79941,72272,66889,59376,25494,27606,16261,21061,27411,13326,0
13300.0,1,1,1,26,3,3,3,4,3,2,3717,3772,3976,3657,3016,2762,3181,4156,2491,2878,1479,2588,0
32200.0,0,3,1,35,3,3,2,3,4,3,12487,10696,10737,10856,10700,10152,1771,2070,2186,2278,2866,1458,0
60200.0,0,1,1,33,0,-1,-2,-1,-2,-2,19579,18991,20642,16670,17878,19584,8013,3482,3038,4330,6680,8008,0
94500.0,0,3,1,36,-1,0,1,1,0,0,37328,30611,33380,33571,34531,30585,17433,5708,15996,16277,7639,7313,0
18200.0,1,3,1,36,-1,0,0,1,1,2,5941,4863,4219,4543,3897,3518,1684,1742,2389,1919,1206,2455,0
4550.0,1,3,2,35,1,1,0,0,1,0,53,55,60,51,51,41,37,29,15,24,15,11,0
17500.0,1,1,3,36,-1,-1,-2,-2,-1,-1,12611,12332,11638,11402,11319,11269,2140,1872,1823,705,1341,819,0
31850.0,0,3,2,45,0,1,0,1,0,1,11359,10939,10011,8330,8264,6770,2086,1788,3834,1688,1306,1582,0
193903.49999999945,1,1,1,26,7,8,7,8,8,8,54426,45076,48884,53068,53829,57937,12183,9454,7161,16878,11289,11926,0
6300.0,1,1,2,28,0,1,1,0,-1,0,2000,1952,1963,1684,1360,1358,346,393,560,166,263,144,1
21700.0,0,1,2,48,-1,-1,-1,-2,-2,-1,3899,3834,4168,3865,3542,3047,594,369,819,796,458,476,1
12250.0,0,4,2,47,2,1,0,-1,-1,0,3511,3023,2676,2427,2352,2382,248,299,223,210,261,341,0
52500.0,0,1,1,37,-2,-1,-1,-1,-1,-2,11439,11613,11463,12441,10529,11146,4901,3470,3470,6014,4581,5157,0
12950.0,1,4,1,54,5,4,5,6,6,6,10292,10780,9867,9777,7964,6842,1041,2314,1365,2049,1282,1603,1
5600.0,0,1,3,39,5,4,3,2,2,1,3583,3130,2913,2592,2190,1826,1463,625,556,748,367,789,1
3500.0,1,4,1,52,-1,-2,-2,-1,-1,-1,598,626,642,640,607,506,27,33,65,67,68,50,0
29050.0,1,3,1,48,0,1,0,0,1,0,17760,14426,15354,16775,13427,13900,2165,3900,3881,2453,2633,3937,0
24850.0,0,4,2,50,-1,-2,-1,-2,-1,-1,8423,6801,7246,7283,7411,7187,2329,1245,824,1361,2010,1500,0
36750.0,1,2,1,24,-1,-1,-1,-2,-2,-1,22920,24632,22713,22910,21675,22317,6920,6767,6145,3637,8324,4204,0
25900.0,1,3,2,41,0,1,0,-1,0,-1,4356,3977,4178,4101,4419,4673,2688,2284,3020,1786,3214,3283,0
30450.0,0,4,1,34,0,1,1,0,1,0,15544,16939,18122,14765,14556,14322,3652,2766,4855,3359,4480,2515,0
35000.0,1,1,1,23,-2,-1,-2,-2,-2,-1,5281,5409,5186,5163,5479,4671,1706,1316,1066,2100,1066,944,0
10850.0,0,2,1,47,-1,-1,-2,-2,-2,-2,3855,3458,2889,2474,2605,2662,376,315,341,365,225,362,0
23100.0,0,2,1,46,5,4,4,3,4,5,10034,9554,9249,7638,6640,5736,522,587,771,796,592,270,0
36400.0,0,1,1,34,1,1,0,0,0,-1,21072,20724,18653,17395,17149,16746,1189,686,1279,949,892,845,0
9800.0,1,3,2,29,1,0,-1,-1,0,1,3785,3773,3294,2912,2674,2389,1067,1895,1812,845,1134,1480,0
4550.0,1,1,2,36,0,-1,-2,-2,-2,-2,1918,2067,1732,1708,1448,1249,91,43,99,68,56,56,0
31500.0,0,2,2,21,-1,-1,0,0,1,2,10348,9882,10516,10479,11143,10840,336,840,817,589,437,888,1
19600.0,0,1,1,23,1,2,1,0,0,0,13230,12363,12508,11250,9983,10440,3572,2779,2636,3786,3979,6443,1
77000.0,1,1,2,32,-1,0,-1,-2,-2,-1,33235,34716,35969,39324,31684,26203,7717,10881,19882,21674,17255,13462,0
41650.0,0,1,2,41,3,4,5,6,6,6,16437,14516,13987,11848,9952,8151,2357,2343,1023,2124,1481,1270,1
17150.0,0,3,1,33,-1,-1,-1,-2,-1,0,13855,13025,13716,13797,12755,12868,2652,1283,1518,1451,1275,2234,0
6650.0,1,1,1,30,1,1,1,0,-1,0,5343,5456,5456,4401,4283,4489,2117,2088,934,1853,1733,1121,0
77700.0,1,3,2,27,0,1,0,1,2,3,12203,9983,8417,7557,8271,8866,1552,3537,2255,1316,1409,1536,0
46550.0,0,3,2,57,0,-1,-2,-2,-1,-2,9497,10393,9018,9082,7708,6810,4851,6397,6446,5376,4721,2151,0
73500.0,1,2,2,25,-1,0,1,0,-1,0,15806,17215,14011,14980,12337,11242,7909,5806,8492,6460,4582,4772,0
54950.0,1,1,2,21,-1,-1,0,0,-1,-1,9297,7655,6445,6429,5352,4969,504,677,269,445,531,238,0
7700.0,0,1,1,30,2,2,3,3,4,5,2339,2436,2605,2766,2654,2301,831,879,1160,1762,1769,1636,1
35000.0,1,2,2,40,5,4,4,3,2,3,9430,9973,8267,9092,10000,10541,5776,5210,3930,4524,5203,6931,0
54600.0,0,1,1,36,2,2,2,1,1,2,35130,38043,33663,35062,28734,27794,3332,5949,2736,3349,3911,5669,1
25550.0,1,2,1,28,0,1,0,1,0,-1,22297,19072,18559,18513,15832,16749,4700,3797,5010,3070,3438,5109,0
17150.0,1,4,2,37,0,1,0,0,0,0,3377,2856,2899,2572,2086,1944,1224,522,625,887,487,653,0
15050.0,1,1,2,45,4,3,2,2,2,3,3087,2544,2369,2558,2676,2491,1380,1013,751,1014,924,1304,0
11550.0,0,2,2,37,-1,-1,-1,-2,-2,-2,3916,3141,2896,2597,2575,2593,2427,1510,1270,804,704,1823,0
21000.0,1,4,2,36,2,2,1,0,0,0,14082,13643,13578,13139,12242,11004,3254,1653,3449,1854,1394,1396,1
7350.0,0,3,1,36,4,4,3,2,1,2,819,705,672,619,548,587,199,200,331,231,250,302,1
4200.0,0,3,3,28,0,-1,0,1,1,1,1036,895,827,716,737,687,393,552,544,460,374,356,0
14000.0,0,3,1,39,-1,0,1,0,1,0,4532,4536,3787,3620,3403,2921,821,2032,1147,1265,1285,589,0
13650.0,1,1,2,45,0,0,-1,0,0,1,7039,7311,6823,6400,5240,4341,5621,2644,4430,4484,2821,1180,0
173250.0,1,3,2,47,0,1,0,1,0,0,56566,56199,58681,60983,52605,48879,8169,9276,5538,4572,4806,8363,0
78750.0,0,4,2,39,-1,-1,-2,-2,-2,-2,49244,44766,43747,40502,42154,40938,24431,16505,22381,17621,15964,13079,0
19250.0,1,2,2,35,3,2,2,1,2,2,10807,10038,9851,10589,9141,8241,1071,905,1549,1545,1206,1217,1
22400.0,0,2,2,52,0,-1,0,0,0,1,2989,3151,3346,2877,2578,2326,1863,1024,2410,1708,848,1089,0
59500.0,1,2,2,36,-1,0,1,2,1,2,8228,7941,7617,7182,6422,6956,1747,924,1692,642,724,1492,0
22750.0,0,1,1,31,-1,-1,-1,0,0,-1,16141,16834,17320,14892,15083,12610,5957,3463,4764,6264,6210,4361,0
19250.0,1,1,1,29,0,-1,-2,-1,-1,-2,3604,3767,4004,4000,3519,3552,1322,1411,1623,1872,1328,783,0
18200.0,0,2,2,28,2,2,3,3,2,3,5958,4839,4196,4305,3803,3463,1637,858,645,1337,524,802,0
20300.0,1,2,1,30,-1,-1,-2,-2,-2,-1,7573,7989,6953,5802,5993,4957,53,100,58,56,64,46,0
8400.0,0,2,2,53,-2,-1,-2,-2,-2,-2,2002,1639,1441,1258,1351,1363,905,749,643,331,539,449,0
64750.0,0,1,2,28,-1,-2,-2,-2,-2,-1,14608,13914,12463,13683,14669,15347,12819,9479,7054,9987,7387,14287,0
18200.0,0,3,2,49,-2,-2,-2,-2,-2,-2,3899,3191,2724,2933,2354,1930,59,106,43,59,66,41,1
71750.0,1,1,1,33,1,0,-1,-1,0,-1,43094,41892,39090,37460,30417,25023,22917,13465,26655,29030,20332,9854,1
60900.0,1,1,1,45,-1,-1,-1,0,-1,0,24828,23659,25542,25999,21031,20373,12735,16700,9353,11706,11244,9643,0
35350.0,0,2,1,25,1,0,0,0,1,1,13177,12530,13647,12306,13096,14300,603,394,626,425,268,581,0
70000.0,1,2,2,35,3,3,2,3,2,2,49211,41351,43253,47074,40076,41562,6155,5538,14074,6110,7479,9207,1
18900.0,1,1,2,21,-1,0,0,0,1,1,2605,2395,2147,1959,1996,1617,597,754,358,450,824,565,0
14000.0,1,2,1,35,2,3,4,4,5,4,2507,2201,2037,1720,1570,1502,1633,1211,823,768,540,886,1
12600.0,1,3,1,42,0,-1,-1,-2,-1,0,7284,7516,6353,6592,5487,5735,3107,3386,4380,4491,3177,1647,0
24500.0,0,2,2,44,0,1,1,1,0,1,5272,4815,4826,4305,4388,4696,1449,1918,1417,1864,1099,961,0
43050.0,0,2,1,35,1,2,3,4,4,5,11003,11842,12317,12907,13125,13651,856,478,969,730,1143,634,1
32550.0,1,1,2,32,0,1,2,3,3,3,8567,8278,9012,7588,6824,6022,504,1154,648,762,502,581,0
129850.0,1,2,2,36,-1,-1,-1,-1,-2,-2,55389,46742,49519,43622,43503,41377,11184,10984,7579,7541,7871,6573,0
36400.0,1,3,2,30,-2,-2,-1,-1,0,-1,27876,25065,26244,27976,28823,25378,306,390,371,412,267,356,1
14000.0,0,2,1,30,-2,-2,-2,-2,-2,-1,8430,8187,7585,8208,7091,7652,758,1014,1023,813,717,910,0
26600.0,0,3,1,31,0,-1,0,-1,-2,-1,5915,5918,5222,5666,4819,4526,2484,1204,959,2302,2286,1035,0
51800.0,1,2,1,37,2,3,4,4,4,4,5264,5695,4939,4254,3739,3964,1139,1270,1123,1110,737,569,1
15050.0,1,2,2,48,0,-1,-2,-1,-1,0,3547,3855,4111,3525,2952,2950,2079,2191,1667,1905,1650,692,0
12950.0,1,3,1,47,-1,0,-1,-1,0,0,869,732,641,677,597,568,537,218,432,332,338,215,0
64750.0,1,3,2,32,-1,0,-1,0,1,1,21492,17710,18275,17744,14965,14038,4938,3965,3416,2206,1500,2734,1
46200.0,1,4,1,27,-1,0,0,1,2,3,29880,30278,26542,25487,27775,27687,3548,3946,3060,1527,3384,3782,0
23800.0,0,2,2,28,3,4,5,6,5,4,11089,9393,8586,9054,8130,7472,2027,1540,1353,1447,1662,1524,0
14350.0,0,4,1,21,0,0,0,1,2,1,4438,4101,4239,3502,3572,2890,2266,1239,832,1698,1345,963,0
17850.0,1,2,1,42,-1,0,-1,-2,-2,-2,7739,7197,7580,7016,6607,6699,2531,1643,1501,2360,1286,1104,0
30100.0,1,3,1,22,-1,-1,0,0,0,-1,10964,11895,12200,9825,9032,8472,1987,2059,2256,1382,1610,1088,1
44450.0,0,1,2,21,8,8,8,8,7,6,35351,29579,26724,23468,25534,25772,2682,2290,3901,3329,3556,3090,1
58800.0,0,2,1,42,0,1,0,-1,0,-1,25856,25436,24800,21302,21372,19522,3523,6458,4006,6269,4603,4555,0
26950.0,1,3,1,41,-1,0,-1,-2,-2,-1,6089,5577,5992,5104,4490,3994,48,30,37,50,21,42,0
7700.0,0,1,2,25,0,1,2,2,3,3,630,637,543,505,480,482,111,125,78,44,77,59,0
85050.0,0,2,1,38,-2,-2,-2,-2,-2,-2,28520,22921,22143,19510,16684,15865,6800,8568,12556,10536,5167,6497,0
66850.0,1,3,2,23,-2,-2,-2,-1,-1,0,20878,16946,16271,16393,15163,13325,2661,2807,2098,4526,4008,2434,1
55650.0,1,1,1,34,2,2,2,2,1,2,12072,11578,9874,10529,10640,11062,5146,1989,3541,4709,5244,4382,0
79100.0,1,2,2,38,-2,-2,-2,-2,-2,-1,23482,22479,22615,19601,18493,20153,7047,3624,10565,3318,6351,3560,0
48300.0,0,2,3,41,2,3,4,5,6,7,43028,40234,41142,42173,39233,34921,1821,4247,4191,2490,1763,3317,0
25550.0,1,2,2,39,-2,-2,-1,-2,-2,-1,20878,17178,15485,13867,14879,12556,1254,588,774,479,776,341,0
8400.0,0,1,1,21,0,1,1,0,1,1,3564,3829,3831,3696,3480,3710,1183,1547,697,1034,827,1228,0
11200.0,0,1,2,38,2,1,1,2,1,1,2149,1841,1723,1757,1600,1394,444,737,257,436,429,568,0
16100.0,1,1,1,55,-1,0,-1,-2,-2,-2,2030,2073,2094,1788,1657,1442,666,706,544,844,784,421,0
