ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
68,67000,2,1,1,31,0,0,0,-1,0,0,34489,33776,35510,37829,37872,35882,17585,19063,20150,22800,13749,16433,0
69,40000,1,2,1,28,-1,-1,-2,-1,-2,-1,18394,19105,18863,20203,20123,19184,945,1400,837,972,794,1088,0
70,74000,2,5,1,36,3,3,4,4,5,5,15458,16519,14119,11917,12631,11332,1841,2188,3439,3364,1579,1816,0
71,123000,2,1,1,50,-1,-1,-1,-2,-2,-2,15526,13960,14260,13941,12250,10194,2605,1237,1849,1018,1949,927,0
72,58000,1,1,1,39,0,1,2,1,1,0,21180,18526,15291,15543,16999,15184,2282,2286,2982,1428,2243,1111,0
73,227000,1,2,1,54,0,0,1,0,-1,-2,60452,53668,52057,44745,48012,48188,4265,7467,3892,4828,4813,5826,0
74,270000,2,3,1,22,-1,-1,-2,-2,-1,-2,88414,92007,99372,92144,74196,69322,22942,15011,24719,23864,12648,11371,0
75,30000,2,2,2,21,-1,0,0,1,2,3,9093,9877,9909,7948,7345,6744,4414,4556,4763,3341,2717,3667,0
76,95000,2,1,2,46,3,4,3,2,2,2,48830,40747,33816,34505,28464,24227,5845,4917,7732,4410,6085,4651,1
77,53000,2,2,1,36,2,3,2,2,1,1,5097,5489,5315,4275,3820,3426,2922,2969,1253,1101,2169,1311,1
78,33000,1,1,1,39,-1,-2,-1,0,1,0,2952,2495,2476,2628,2602,2168,837,816,983,654,1042,822,0
79,63000,1,2,1,35,0,0,-1,0,1,1,41657,42776,35385,36784,40068,40887,9964,16444,7248,15627,6305,17375,0
80,10000,1,1,2,37,0,1,0,0,0,0,2833,2715,2661,2653,2542,2109,297,469,523,271,517,267,0
81,133000,2,3,2,41,0,-1,-1,-2,-2,-2,88998,85119,78559,67806,56267,59658,22824,19825,20117,22073,11629,18158,0
82,144000,2,4,1,37,1,1,1,1,2,2,37154,37218,30816,31334,28128,25775,19787,16937,10415,18443,14879,13750,0
83,81000,1,3,2,30,3,3,3,3,3,4,29871,27681,22684,21721,18729,15837,16613,18038,7723,10695,9266,5665,0
84,157000,1,2,1,56,0,-1,-1,0,1,1,106227,101459,94361,82392,81262,77964,14346,13214,13790,10440,24197,25694,0
85,35000,1,2,1,36,1,1,0,0,1,1,25288,23138,22795,23749,24608,20721,5405,6996,7869,4884,6874,7087,0
86,10000,1,1,1,33,2,3,3,2,3,3,398,413,386,350,300,326,47,55,51,24,28,24,1
87,42000,2,3,1,32,2,1,2,2,2,3,13168,10685,10534,8437,8277,9029,1292,696,732,444,694,838,0
88,22000,2,2,2,38,2,2,2,2,3,2,8102,7271,6744,6626,6606,5877,1113,1008,1131,1134,1096,648,1
89,66000,2,3,2,33,-1,0,-1,-1,-2,-1,29632,32120,27310,28329,26108,26270,5910,4499,5442,4568,2226,5098,0
90,241000,2,1,2,21,0,0,-1,-2,-1,-2,67706,60497,51733,50289,50666,41327,3606,2472,3202,1926,3685,2929,0
91,86000,1,3,2,33,1,0,0,0,-1,-2,19568,20826,21615,21418,19467,19449,4012,7450,10884,6265,6887,8117,0
92,52000,2,2,1,25,-1,-2,-2,-2,-2,-2,11227,11934,11767,10469,10509,9995,3692,8291,5585,7847,7723,3024,0
93,179000,2,1,2,37,3,3,3,2,1,2,86827,91158,79312,71031,64589,51911,3790,4878,4196,3850,6015,2956,0
94,303000,2,2,1,35,1,1,0,1,1,1,72164,75965,79848,76608,74989,73534,34890,18052,34577,31875,28628,32624,0
95,98000,2,4,1,29,-1,-1,-1,-2,-1,0,31750,28808,25188,20925,17720,15250,6566,5890,6545,5074,3889,3870,0
96,36000,2,4,2,44,-1,-2,-2,-2,-1,-2,3011,2782,2244,2451,2051,1742,169,178,242,150,257,136,0
97,73000,2,2,2,34,1,2,3,2,3,2,5498,5697,5861,4843,5268,5578,102,72,108,132,60,102,0
98,76000,2,1,1,32,0,0,1,0,-1,0,15242,16407,14346,14331,11543,12019,12643,14833,6446,6957,6024,11354,0
99,55000,1,3,1,32,1,1,0,-1,0,1,27355,22537,18975,15512,16301,13148,5408,6588,6254,4923,4130,4588,1
100,211000,1,2,1,31,-1,0,0,0,-1,-1,79357,84338,74676,71106,66327,65473,8672,8148,6363,13162,7125,9326,0
101,141000,1,1,2,40,-1,-2,-2,-2,-2,-1,67437,60865,50349,53230,50562,45753,9464,16756,6603,13146,8037,7678,0
102,23000,2,1,2,28,-1,0,1,0,-1,-2,6487,5253,4375,4468,4757,4913,1587,1647,931,803,1700,600,0
103,21000,1,1,2,36,-1,0,-1,-2,-2,-2,6307,5742,6155,5508,5047,5462,1368,1154,1095,1457,1384,1330,0
104,40000,2,1,1,30,-1,0,-1,-2,-1,-1,15308,15240,14287,15500,16676,16618,2165,3722,2708,5717,5113,2824,0
105,27000,2,3,2,29,0,1,0,1,2,1,5401,4594,4924,4861,4483,4460,394,488,443,361,310,284,0
106,43000,1,1,1,39,-1,0,-1,-1,-2,-2,20942,20609,19656,20643,22560,24428,2292,1826,1886,2523,1278,2847,0
107,66000,2,1,1,26,-1,0,0,0,1,1,36808,35363,33762,30484,26180,23271,3915,1532,2483,1372,1179,1584,0
108,56000,2,2,2,40,-1,-1,-1,-2,-2,-1,16516,13611,11651,12530,11542,9447,1495,1050,1688,1851,1401,1821,0
109,77000,1,2,2,38,0,0,-1,0,0,1,23756,22523,18744,15220,12664,12631,503,488,750,287,287,290,0
110,48000,1,1,2,47,0,1,1,0,-1,-2,35413,37759,33667,36490,40021,41011,14486,17995,14870,18478,19547,19931,0
111,18000,1,1,2,21,5,4,5,4,5,6,3135,3335,3173,2672,2147,2352,323,386,468,301,321,150,1
112,27000,1,1,2,44,0,0,0,0,-1,-2,11392,9786,9535,8949,8179,6772,3547,2965,1832,1337,2480,986,0
113,25000,2,2,2,32,1,1,0,1,2,1,8814,7558,7133,6700,6716,5847,2403,832,1462,1570,2019,1085,1
114,32000,2,1,2,21,0,0,0,-1,-2,-1,17332,15230,15959,13574,12934,10701,6172,4079,2819,2819,2441,2562,0
115,95000,2,2,1,29,3,2,1,2,3,2,62812,53990,57282,62852,51165,53398,29437,47789,28283,34794,28377,32931,0
116,46000,2,1,1,40,-1,-2,-2,-2,-1,0,22644,24617,23709,21152,22523,19939,6796,11371,5459,7003,5765,8255,1
117,28000,2,1,1,34,1,0,0,0,1,0,5280,5594,4864,4070,3753,3754,2914,1556,2387,1846,915,1289,1
118,61000,1,2,2,47,-1,0,1,0,0,-1,38524,34557,28824,24323,26635,23729,28378,26106,16768,17107,14755,15077,0
119,85000,2,1,2,32,2,3,2,3,4,4,39388,32165,28733,25996,24746,26588,13741,23028,18737,13359,10992,21472,1
120,83000,2,1,1,35,-1,-2,-2,-2,-1,0,20312,21441,20513,21248,20168,19858,622,1072,1395,1421,950,1032,0
121,576000,2,1,2,33,-1,-1,0,-1,-2,-2,286477,249751,228403,206490,191111,169645,72839,78874,46460,60174,78316,38073,0
122,38000,2,1,1,26,3,3,3,4,3,2,10619,10778,11361,10448,8617,7891,9088,11874,7116,8223,4225,7394,0
123,92000,1,3,1,35,3,3,2,3,4,3,35677,30561,30678,31017,30572,29005,5060,5915,6246,6509,8188,4167,0
124,172000,1,1,1,33,0,-1,-2,-1,-2,-2,55940,54261,58978,47628,51081,55955,22895,9948,8680,12371,19085,22879,0
125,270000,1,3,1,36,-1,0,1,1,0,0,106650,87460,95372,95916,98660,87387,49809,16309,45702,46505,21826,20895,0
126,52000,2,3,1,36,-1,0,0,1,1,2,16974,13893,12054,12979,11133,10050,4812,4976,6827,5482,3445,7014,0
127,13000,2,3,2,35,1,1,0,0,1,0,152,158,172,147,145,116,106,83,42,68,44,32,0
128,50000,2,1,0,36,-1,-1,-2,-2,-1,-1,36031,35233,33251,32577,32341,32197,6115,5348,5208,2015,3831,2340,0
129,91000,1,3,2,45,0,1,0,1,0,1,32453,31253,28603,23801,23610,19342,5961,5108,10955,4823,3732,4519,0
130,714000,2,1,1,26,7,8,7,8,8,8,155503,128788,139668,151623,153797,165535,34809,27011,20461,48222,32253,34073,0
131,18000,2,1,2,28,0,1,1,0,-1,0,5713,5577,5609,4810,3887,3879,990,1124,1599,475,752,410,1
132,62000,1,1,2,48,-1,-1,-1,-2,-2,-1,11141,10953,11908,11044,10120,8705,1696,1054,2340,2274,1310,1359,1
133,35000,1,4,2,47,2,1,0,-1,-1,0,10031,8637,7646,6935,6721,6805,708,855,638,599,747,973,0
134,150000,1,1,1,37,-2,-1,-1,-1,-1,-2,32684,33180,32752,35547,30082,31845,14004,9913,9915,17183,13089,14733,0
135,37000,2,4,1,54,5,4,5,6,6,6,29407,30800,28191,27935,22754,19548,2975,6610,3901,5855,3664,4579,1
136,16000,1,1,3,39,5,4,3,2,2,1,10236,8944,8322,7406,6258,5216,4180,1786,1590,2136,1049,2254,1
137,10000,2,4,1,52,-1,-2,-2,-1,-1,-1,1708,1790,1833,1830,1734,1445,76,94,186,191,195,142,0
138,83000,2,3,1,48,0,1,0,0,1,0,50743,41216,43868,47929,38364,39715,6185,11144,11090,7009,7522,11249,0
139,71000,1,4,2,50,-1,-2,-1,-2,-1,-1,24065,19431,20703,20809,21174,20533,6655,3556,2354,3889,5743,4287,0
140,105000,2,2,1,24,-1,-1,-1,-2,-2,-1,65485,70377,64894,65458,61928,63762,19772,19333,17556,10391,23782,12011,0
141,74000,2,3,2,41,0,1,0,-1,0,-1,12447,11364,11937,11718,12626,13352,7680,6525,8629,5104,9182,9381,0
142,87000,1,4,1,34,0,1,1,0,1,0,44412,48397,51776,42186,41589,40920,10433,7903,13871,9597,12800,7187,0
143,100000,2,1,1,23,-2,-1,-2,-2,-2,-1,15089,15455,14818,14752,15653,13345,4874,3761,3046,5999,3047,2698,0
144,31000,1,2,1,47,-1,-1,-2,-2,-2,-2,11015,9881,8254,7069,7443,7607,1074,901,975,1043,644,1035,0
145,66000,1,2,1,46,5,4,4,3,4,5,28668,27297,26426,21823,18972,16389,1492,1677,2204,2274,1691,772,0
146,104000,1,1,1,34,1,1,0,0,0,-1,60206,59212,53293,49700,48997,47845,3398,1959,3654,2712,2548,2413,0
147,28000,2,3,2,29,1,0,-1,-1,0,1,10814,10781,9411,8321,7641,6825,3048,5415,5178,2413,3239,4229,0
148,13000,2,1,2,36,0,-1,-2,-2,-2,-2,5480,5905,4949,4879,4138,3569,259,124,283,194,160,161,0
149,90000,1,2,2,21,-1,-1,0,0,1,2,29566,28234,30045,29941,31837,30970,961,2400,2333,1682,1249,2536,1
150,56000,1,1,1,23,1,2,1,0,0,0,37801,35322,35736,32143,28523,29829,10205,7940,7530,10816,11369,18409,1
151,220000,2,1,2,32,-1,0,-1,-2,-2,-1,94956,99188,102769,112353,90527,74865,22049,31088,56806,61926,49299,38463,0
152,119000,1,1,2,41,3,4,5,6,6,6,46963,41475,39962,33850,28435,23288,6735,6694,2923,6070,4232,3630,1
153,49000,1,3,1,33,-1,-1,-1,-2,-1,0,39586,37214,39189,39421,36442,36765,7578,3667,4337,4146,3644,6383,0
154,19000,2,1,1,30,1,1,1,0,-1,0,15267,15590,15589,12575,12238,12825,6049,5967,2669,5295,4952,3203,0
155,222000,2,3,2,27,0,1,0,1,2,3,34866,28524,24048,21591,23632,25330,4435,10107,6444,3761,4025,4389,0
156,133000,1,3,2,57,0,-1,-2,-2,-1,-2,27135,29694,25767,25949,22022,19456,13859,18277,18417,15359,13489,6145,0
157,210000,2,2,2,25,-1,0,1,0,-1,0,45159,49185,40031,42799,35248,32119,22597,16588,24263,18457,13092,13635,0
158,157000,2,1,2,21,-1,-1,0,0,-1,-1,26564,21872,18415,18369,15290,14198,1441,1933,769,1271,1516,680,0
159,22000,1,1,1,30,2,2,3,3,4,5,6684,6961,7443,7902,7584,6574,2374,2512,3315,5035,5053,4674,1
160,100000,2,2,2,40,5,4,4,3,2,3,26943,28494,23619,25976,28570,30116,16503,14885,11228,12926,14865,19804,0
161,156000,1,1,1,36,2,2,2,1,1,2,100370,108695,96179,100177,82098,79411,9519,16997,7818,9569,11173,16198,1
162,73000,2,2,1,28,0,1,0,1,0,-1,63707,54490,53026,52893,45235,47855,13430,10848,14314,8772,9823,14597,0
163,49000,2,4,2,37,0,1,0,0,0,0,9649,8160,8282,7349,5959,5555,3496,1492,1785,2533,1391,1867,0
164,43000,2,1,2,45,4,3,2,2,2,3,8819,7268,6768,7309,7647,7117,3944,2893,2145,2897,2640,3726,0
165,33000,1,2,2,37,-1,-1,-1,-2,-2,-2,11188,8974,8275,7419,7358,7409,6935,4313,3628,2297,2011,5210,0
166,60000,2,4,2,36,2,2,1,0,0,0,40234,38980,38795,37540,34978,31440,9298,4724,9855,5298,3984,3988,1
167,21000,1,3,1,36,4,4,3,2,1,2,2341,2013,1919,1769,1567,1678,569,570,945,660,713,862,1
168,12000,1,3,0,28,0,-1,0,1,1,1,2961,2556,2364,2045,2107,1964,1124,1578,1555,1314,1068,1016,0
169,40000,1,3,1,39,-1,0,1,0,1,0,12950,12959,10820,10344,9722,8345,2345,5806,3277,3613,3671,1684,0
170,39000,2,1,2,45,0,0,-1,0,0,1,20111,20890,19495,18286,14970,12403,16059,7553,12656,12812,8061,3371,0
171,495000,2,3,2,47,0,1,0,1,0,0,161616,160568,167659,174236,150300,139654,23339,26502,15822,13062,13732,23893,0
172,225000,1,4,2,39,-1,-1,-2,-2,-2,-2,140696,127904,124991,115720,120439,116967,69803,47158,63945,50347,45612,37369,0
173,55000,2,2,2,35,3,2,2,1,2,2,30876,28679,28147,30254,26116,23546,3060,2585,4425,4413,3446,3477,1
174,64000,1,2,2,52,0,-1,0,0,0,1,8539,9003,9561,8220,7366,6647,5324,2927,6886,4880,2422,3112,0
175,170000,2,2,2,36,-1,0,1,2,1,2,23509,22688,21764,20521,18350,19874,4991,2640,4834,1833,2068,4263,0
176,65000,1,1,1,31,-1,-1,-1,0,0,-1,46116,48097,49486,42548,43093,36030,17020,9894,13610,17896,17742,12459,0
177,55000,2,1,1,29,0,-1,-2,-1,-1,-2,10297,10762,11439,11429,10054,10149,3778,4032,4637,5350,3793,2238,0
178,52000,1,2,2,28,2,2,3,3,2,3,17023,13827,11990,12300,10867,9894,4678,2452,1843,3821,1498,2292,0
179,58000,2,2,1,30,-1,-1,-2,-2,-2,-1,21636,22825,19866,16576,17123,14164,152,286,167,159,183,130,0
180,24000,1,2,2,53,-2,-1,-2,-2,-2,-2,5719,4682,4117,3593,3860,3895,2587,2141,1838,947,1541,1284,0
181,185000,1,1,2,28,-1,-2,-2,-2,-2,-1,41736,39753,35609,39094,41911,43848,36625,27083,20155,28534,21106,40819,0
182,52000,1,3,2,49,-2,-2,-2,-2,-2,-2,11140,9116,7782,8380,6726,5515,170,304,122,168,190,118,1
183,205000,2,1,1,33,1,0,-1,-1,0,-1,123127,119691,111686,107028,86907,71494,65476,38472,76157,82943,58090,28155,1
184,174000,2,1,1,45,-1,-1,-1,0,-1,0,70936,67597,72977,74284,60089,58209,36386,47715,26723,33445,32125,27551,0
185,101000,1,2,1,25,1,0,0,0,1,1,37649,35800,38992,35160,37418,40857,1722,1127,1789,1215,766,1660,0
186,200000,2,2,2,35,3,3,2,3,2,2,140603,118145,123581,134496,114504,118749,17585,15822,40212,17457,21368,26305,1
187,54000,2,1,2,21,-1,0,0,0,1,1,7443,6842,6134,5596,5703,4620,1707,2153,1023,1286,2354,1613,0
188,40000,2,2,1,35,2,3,4,4,5,4,7162,6289,5821,4913,4486,4292,4665,3459,2352,2193,1544,2532,1
189,36000,2,3,1,42,0,-1,-1,-2,-1,0,20812,21474,18151,18833,15676,16385,8877,9673,12513,12832,9078,4706,0
190,70000,1,2,2,44,0,1,1,1,0,1,15063,13756,13788,12301,12536,13416,4141,5480,4049,5326,3139,2747,0
191,123000,1,2,1,35,1,2,3,4,4,5,31436,33834,35192,36876,37500,39004,2446,1367,2770,2085,3267,1812,1
192,93000,2,1,2,32,0,1,2,3,3,3,24476,23650,25750,21680,19497,17205,1439,3296,1852,2176,1435,1660,0
193,371000,2,2,2,36,-1,-1,-1,-1,-2,-2,158253,133548,141482,124634,124294,118221,31953,31382,21655,21547,22488,18779,0
194,104000,2,3,2,30,-2,-2,-1,-1,0,-1,79647,71613,74984,79930,82351,72508,873,1113,1059,1176,763,1018,1
195,40000,1,2,1,30,-2,-2,-2,-2,-2,-1,24087,23391,21672,23451,20259,21863,2166,2896,2922,2322,2049,2599,0
196,76000,1,3,1,31,0,-1,0,-1,-2,-1,16901,16908,14920,16189,13769,12931,7097,3440,2740,6576,6530,2956,0
197,148000,2,2,1,37,2,3,4,4,4,4,15039,16272,14112,12153,10682,11327,3255,3630,3208,3172,2107,1625,1
198,43000,2,2,2,48,0,-1,-2,-1,-1,0,10135,11014,11746,10071,8434,8428,5939,6261,4764,5443,4715,1978,0
199,37000,2,3,1,47,-1,0,-1,-1,0,0,2483,2090,1831,1933,1707,1622,1535,622,1235,949,965,614,0
200,185000,2,3,2,32,-1,0,-1,0,1,1,61406,50599,52214,50696,42757,40110,14110,11329,9759,6302,4286,7811,1
201,132000,2,4,1,27,-1,0,0,1,2,3,85371,86509,75834,72819,79358,79107,10137,11273,8743,4364,9668,10805,0
202,68000,1,2,2,28,3,4,5,6,5,4,31683,26836,24532,25869,23229,21348,5791,4401,3865,4134,4749,4353,0
203,41000,1,4,1,21,0,0,0,1,2,1,12679,11717,12112,10007,10206,8258,6475,3539,2377,4851,3844,2752,0
204,51000,2,2,1,42,-1,0,-1,-2,-2,-2,22111,20562,21657,20047,18878,19139,7232,4695,4289,6744,3673,3153,0
205,86000,2,3,1,22,-1,-1,0,0,0,-1,31325,33987,34856,28072,25805,24205,5676,5884,6445,3949,4599,3108,1
206,127000,1,1,2,21,8,8,8,8,7,6,101003,84512,76353,67051,72955,73634,7663,6542,11145,9511,10159,8830,1
207,168000,1,2,1,42,0,1,0,-1,0,-1,73873,72674,70856,60863,61064,55777,10065,18450,11447,17912,13151,13014,0
208,77000,2,3,1,41,-1,0,-1,-2,-2,-1,17398,15934,17121,14582,12830,11411,137,86,107,143,59,119,0
209,22000,1,1,2,25,0,1,2,2,3,3,1800,1820,1551,1444,1372,1378,317,358,223,126,219,170,0
210,243000,1,2,1,38,-2,-2,-2,-2,-2,-2,81485,65488,63266,55742,47668,45330,19429,24479,35874,30103,14762,18562,0
211,191000,2,3,2,23,-2,-2,-2,-1,-1,0,59651,48418,46489,46837,43322,38072,7602,8019,5993,12930,11451,6954,1
212,159000,2,1,1,34,2,2,2,2,1,2,34492,33080,28211,30082,30401,31605,14702,5684,10117,13455,14982,12521,0
